NAME_EDUCATION_TYPE,applicants,actual_default_rate,avg_calibrated_pd,approval_rate,predicted_default_rate
Lower secondary,791,0.10366624525916561,0.0962452923564619,0.6536030341340076,0.3463969658659924
Incomplete higher,1988,0.0789738430583501,0.09011692507101247,0.6871227364185111,0.31287726358148893
Secondary / secondary special,43623,0.09036517433463999,0.08796415598715505,0.6905531485684158,0.30944685143158424
Higher education,15061,0.05198857977557931,0.05350164262735838,0.8524666356815617,0.14753336431843836
Academic degree,40,0.025,0.04763061190673394,0.85,0.15
