risk_band,applicants,actual_defaults,avg_predicted_pd,default_rate,avg_income,avg_credit
High Risk,19414,1573,0.46519032,0.08102400329659008,163163.6776553003,586270.6584681158
Low Risk,14623,238,0.13052128,0.016275730014360938,185018.57235895508,639114.6199822198
Medium Risk,16302,572,0.27236995,0.03508771929824561,168339.6231404122,627440.0617408907
Very High Risk,11164,2582,0.71829104,0.23127911142959512,156800.87114833394,520326.1023826586
