group,size,false_positive_rate,false_negative_rate
Higher education,15061,0.1293598543213335,0.5210727969348659
Secondary / secondary special,43623,0.2734306091076334,0.3280060882800609
Incomplete higher,1988,0.2829055161114145,0.3375796178343949
Lower secondary,791,0.306064880112835,0.3048780487804878
